GoodCustomer,Gender,ForeignWorker,Single,Age,LoanDuration,PurposeOfLoan,LoanAmount,LoanRateAsPercentOfIncome,YearsAtCurrentHome,NumberOfOtherLoansAtBank,NumberOfLiableIndividuals,HasTelephone,CheckingAccountBalance_geq_0,CheckingAccountBalance_geq_200,SavingsAccountBalance_geq_100,SavingsAccountBalance_geq_500,MissedPayments,NoCurrentLoan,CriticalAccountOrLoansElsewhere,OtherLoansAtBank,OtherLoansAtStore,HasCoapplicant,HasGuarantor,OwnsHouse,RentsHouse,Unemployed,YearsAtCurrentJob_lt_1,YearsAtCurrentJob_geq_4,JobClassIsSkilled
1,Male,0,1,67,6,Electronics,1169,4,4,2,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
-1,Female,0,0,22,48,Electronics,5951,2,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,49,12,Education,2096,2,3,1,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Male,0,1,45,42,Furniture,7882,2,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
-1,Male,0,1,53,24,NewCar,4870,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,Male,0,1,35,36,Education,9055,2,4,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,Male,0,1,53,24,Furniture,2835,3,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,35,36,UsedCar,6948,2,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
1,Male,0,0,61,12,Electronics,3059,2,4,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
-1,Male,0,0,28,30,NewCar,5234,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
-1,Female,0,0,25,12,NewCar,1295,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
-1,Female,0,0,24,48,Business,4308,3,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
1,Female,0,0,22,12,Electronics,1567,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,Male,0,1,60,24,NewCar,1199,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
1,Female,0,0,28,15,NewCar,1403,2,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
-1,Female,0,0,32,24,Electronics,1282,4,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1,Male,0,1,53,24,Electronics,2424,4,4,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,25,30,Business,8072,2,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
-1,Female,0,0,44,24,UsedCar,12579,4,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,Male,0,1,31,24,Electronics,3430,3,2,1,2,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,1,48,9,NewCar,2134,4,4,3,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,44,6,Electronics,2647,2,3,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1,Male,1,1,48,10,NewCar,2241,1,3,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0
1,Male,0,1,44,12,UsedCar,1804,3,4,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1
1,Male,1,0,26,10,Furniture,2069,2,1,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,36,6,Furniture,1374,1,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,Male,0,0,39,6,Electronics,426,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1,Female,0,0,42,12,Electronics,409,3,3,2,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1
1,Male,0,1,34,7,Electronics,2415,3,2,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
-1,Male,0,1,63,60,Business,6836,3,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
1,Male,0,0,36,18,Business,1913,3,3,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,1
1,Male,0,1,27,24,Furniture,4020,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,30,18,NewCar,5866,2,2,2,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
1,Male,0,1,57,12,Business,1264,4,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
1,Female,0,0,33,12,Furniture,1474,4,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1
-1,Male,0,1,25,45,Electronics,4746,4,2,2,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1,Male,0,1,31,48,Education,6110,1,3,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1
-1,Male,0,1,37,18,Electronics,2100,4,2,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
